                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5195,                0.85591,                 1.3103,                0.89772,                0.86765,                0.92079,                0.47318,                 1.6912,                0.75307,                 1.4327,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.5283,                0.86046,                 1.3151,                0.89513,                0.86512,                0.91793,                0.46954,                 1.6877,                0.75349,                 1.4281,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.5241,                0.85834,                 1.3119,                0.89627,                0.86495,                0.91897,                0.47214,                 1.6816,                0.74178,                 1.4263,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.5193,                0.84565,                 1.3132,                 0.8902,                0.86838,                0.91684,                0.47089,                 1.6898,                0.74335,                 1.4292,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.5131,                0.84565,                 1.3085,                0.89773,                 0.8679,                0.91797,                 0.4708,                 1.6899,                0.74099,                 1.4358,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.5113,                0.84501,                 1.3075,                0.89433,                0.87105,                0.92036,                0.47251,                 1.6884,                0.73977,                 1.4315,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.5073,                0.83848,                 1.3061,                0.89848,                0.87808,                0.92226,                0.47395,                 1.6947,                0.72764,                 1.4361,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.5028,                0.84036,                 1.3043,                0.90082,                0.87108,                0.92155,                0.47292,                 1.6966,                  0.726,                 1.4333,               0.000604,               0.000604,               0.000604
                     42,                  1.501,                0.83179,                 1.3018,                0.90236,                0.87154,                0.92113,                0.47168,                 1.7027,                0.73232,                 1.4408,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4953,                0.82678,                 1.2998,                0.90387,                0.86908,                0.92156,                 0.4716,                 1.7028,                0.72563,                  1.439,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4952,                0.82871,                    1.3,                0.89735,                0.86741,                0.91605,                0.46796,                 1.7011,                0.73019,                 1.4429,              0.0005743,              0.0005743,              0.0005743
                     45,                  1.484,                0.82246,                 1.2941,                0.90304,                0.86698,                0.91942,                0.46922,                 1.7004,                0.72206,                 1.4445,              0.0005644,              0.0005644,              0.0005644
                     46,                  1.487,                0.81167,                 1.2975,                0.89885,                0.87243,                0.91931,                0.47076,                 1.7011,                0.71675,                 1.4416,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.4806,                0.81537,                 1.2917,                0.90342,                0.87287,                0.92414,                 0.4706,                 1.7039,                0.71125,                 1.4471,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.4857,                0.81775,                 1.2953,                0.90495,                0.86894,                 0.9191,                0.46813,                 1.7138,                0.71533,                 1.4523,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.4823,                  0.817,                 1.2925,                0.90058,                 0.8672,                0.92013,                0.46863,                 1.7178,                0.71868,                 1.4519,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.4671,                0.80386,                 1.2841,                0.89783,                0.86981,                0.91934,                0.46641,                 1.7183,                0.71869,                 1.4555,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.4697,                0.80246,                 1.2867,                0.89958,                0.87179,                0.91901,                0.46716,                 1.7187,                0.71668,                 1.4557,               0.000505,               0.000505,               0.000505
                     52,                 1.4696,                0.79657,                 1.2874,                0.90358,                0.87608,                0.92044,                0.46581,                 1.7221,                 0.7148,                 1.4571,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.4619,                0.79087,                 1.2818,                 0.9013,                 0.8706,                0.91804,                0.46639,                 1.7191,                0.71626,                 1.4568,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.4494,                0.78731,                 1.2763,                 0.9016,                0.87071,                0.91877,                0.46692,                 1.7191,                0.70972,                  1.458,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.4514,                0.78304,                 1.2744,                0.90061,                0.87244,                0.91719,                0.46646,                 1.7191,                 0.7069,                 1.4612,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.4499,                0.78372,                 1.2789,                0.90227,                0.87623,                0.91967,                0.46524,                 1.7201,                0.70701,                  1.461,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.4439,                0.77482,                 1.2748,                 0.9026,                0.87468,                0.92084,                0.46685,                 1.7263,                0.70769,                 1.4651,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.4396,                0.77842,                 1.2729,                0.90523,                0.87555,                0.92023,                0.46487,                 1.7296,                0.70875,                 1.4649,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.4431,                0.78139,                 1.2703,                0.90068,                0.87612,                0.91867,                0.46123,                 1.7308,                0.70928,                 1.4677,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.4332,                0.77656,                 1.2656,                 0.8983,                0.87675,                0.91896,                0.46402,                 1.7303,                0.70471,                 1.4687,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.4228,                0.77135,                 1.2632,                 0.9019,                0.87474,                0.91991,                0.46273,                 1.7357,                0.70349,                 1.4748,               0.000406,               0.000406,               0.000406
                     62,                 1.4226,                0.76935,                 1.2641,                0.89971,                 0.8752,                0.91748,                0.46153,                 1.7377,                0.70459,                 1.4761,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.4194,                0.76565,                 1.2616,                0.89691,                0.87516,                0.91763,                0.46182,                 1.7382,                  0.705,                 1.4771,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.4215,                0.76188,                 1.2601,                0.89783,                 0.8745,                 0.9192,                 0.4621,                 1.7432,                0.70453,                 1.4798,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.4175,                0.75875,                 1.2598,                0.90408,                0.87125,                 0.9191,                0.46098,                 1.7459,                0.70318,                 1.4818,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.4109,                0.76342,                 1.2559,                0.90112,                0.87127,                0.91864,                0.46015,                 1.7466,                0.70603,                  1.483,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.4077,                0.75185,                 1.2547,                0.89715,                0.87337,                0.91656,                0.45936,                 1.7478,                0.70518,                 1.4854,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.4048,                 0.7495,                  1.254,                0.90639,                0.86723,                0.91529,                0.45713,                 1.7502,                0.70317,                 1.4876,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.4036,                0.74577,                 1.2508,                0.90551,                0.86792,                 0.9166,                0.45897,                 1.7523,                0.70264,                 1.4877,              0.0003268,              0.0003268,              0.0003268
                     70,                  1.394,                0.74575,                  1.247,                0.90277,                0.87057,                0.91617,                0.45803,                 1.7536,                0.70124,                 1.4909,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.3897,                0.74352,                  1.244,                0.90253,                0.86927,                0.91686,                0.45761,                 1.7569,                0.70054,                 1.4938,               0.000307,               0.000307,               0.000307
                     72,                 1.3851,                0.74206,                 1.2414,                0.90439,                0.86567,                 0.9148,                0.45704,                 1.7589,                0.70047,                 1.4956,              0.0002971,              0.0002971,              0.0002971
                     73,                  1.381,                0.73757,                 1.2386,                0.89467,                0.87568,                0.91633,                0.45667,                 1.7587,                0.70168,                 1.4961,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.3819,                0.73611,                 1.2397,                0.90893,                0.86204,                0.91556,                0.45701,                 1.7595,                0.70226,                 1.4969,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3725,                0.73177,                 1.2369,                0.90863,                0.86111,                0.91479,                0.45646,                 1.7613,                0.70383,                 1.4986,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.3688,                0.73149,                 1.2322,                0.90367,                  0.865,                0.91521,                0.45631,                 1.7616,                0.70447,                 1.4995,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.3663,                0.72998,                 1.2328,                0.89768,                0.87165,                 0.9149,                0.45586,                 1.7634,                0.70468,                 1.5022,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.3671,                0.73113,                  1.233,                0.90156,                0.86728,                0.91508,                 0.4553,                  1.766,                0.70376,                 1.5048,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.3639,                0.72327,                 1.2271,                0.90081,                0.86726,                0.91426,                0.45501,                 1.7682,                 0.7054,                 1.5074,              0.0002278,              0.0002278,              0.0002278
                     80,                  1.357,                0.72315,                 1.2271,                0.90567,                0.86209,                0.91395,                0.45478,                 1.7696,                0.70542,                 1.5086,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.3506,                 0.7178,                 1.2254,                0.89711,                0.86768,                0.91176,                0.45338,                 1.7718,                0.70519,                 1.5105,               0.000208,               0.000208,               0.000208
                     82,                 1.3511,                0.72349,                 1.2243,                0.89551,                0.87035,                0.91302,                0.45374,                 1.7729,                0.70533,                 1.5115,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.3365,                0.71289,                 1.2176,                0.89679,                0.86971,                0.91353,                0.45404,                 1.7747,                0.70484,                 1.5133,              0.0001882,              0.0001882,              0.0001882
