                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.58848,                 1.5719,                0.90123,                0.93992,                0.93414,                0.98699,                 0.9301,                0.35342,                0.67013,                0.70099,               0.067117,             0.00033215,             0.00033215
                      1,                0.35626,                0.56495,                0.82187,                0.97759,                0.96976,                0.99115,                 0.9191,                0.39044,                0.41396,                0.75565,                0.03411,              0.0006589,              0.0006589
                      2,                0.31744,                 0.4825,                0.82053,                0.98247,                0.98083,                0.99296,                0.94194,                0.31683,                0.36716,                0.74587,              0.0010972,             0.00097904,             0.00097904
                      3,                 0.2573,                 0.4335,                0.81326,                0.96803,                0.96312,                 0.9901,                0.93652,                0.32298,                0.40994,                0.75998,              0.0009703,              0.0009703,              0.0009703
                      4,                0.22791,                0.38786,                0.80898,                0.98273,                0.98633,                0.99401,                0.97045,                 0.2406,                0.29933,                0.74889,              0.0009703,              0.0009703,              0.0009703
                      5,                 0.2188,                0.36435,                0.80838,                0.97807,                0.98283,                0.99362,                0.96474,                 0.2508,                0.33224,                 0.7527,              0.0009604,              0.0009604,              0.0009604
                      6,                0.21492,                0.34437,                0.80595,                0.97985,                0.98005,                0.99184,                0.97746,                0.21762,                0.33121,                0.76399,              0.0009505,              0.0009505,              0.0009505
                      7,                0.19708,                0.34027,                0.80478,                0.98519,                 0.9775,                0.99359,                0.95993,                0.25905,                0.36739,                0.77057,              0.0009406,              0.0009406,              0.0009406
                      8,                0.18482,                0.32283,                0.80344,                0.98143,                0.98525,                0.99439,                0.98529,                0.17215,                0.29152,                0.76786,              0.0009307,              0.0009307,              0.0009307
                      9,                0.18516,                0.30909,                0.80234,                0.98268,                0.98131,                0.99255,                0.98031,                0.19018,                0.35217,                0.77423,              0.0009208,              0.0009208,              0.0009208
                     10,                0.17765,                0.29577,                0.80165,                0.98934,                0.98724,                0.99467,                0.97353,                0.20216,                0.28091,                0.77168,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.1819,                0.29651,                0.80183,                0.99022,                0.98713,                0.99467,                0.99051,                0.15607,                0.27542,                0.76969,               0.000901,               0.000901,               0.000901
                     12,                0.17142,                 0.2886,                0.80042,                0.98959,                 0.9867,                  0.994,                0.98583,                0.17676,                0.32887,                0.77817,              0.0008911,              0.0008911,              0.0008911
                     13,                0.16204,                0.28425,                 0.7992,                0.98577,                0.98597,                0.99417,                0.99042,                0.15698,                0.30518,                0.76832,              0.0008812,              0.0008812,              0.0008812
                     14,                0.15697,                0.27444,                0.80062,                0.99037,                0.98312,                0.99396,                0.98823,                0.16703,                0.29833,                 0.7617,              0.0008713,              0.0008713,              0.0008713
                     15,                0.15892,                0.26858,                0.79957,                0.99193,                0.99179,                0.99466,                0.99228,                 0.1546,                0.26787,                0.76463,              0.0008614,              0.0008614,              0.0008614
                     16,                0.15984,                0.27221,                0.79871,                0.99355,                0.97838,                0.99441,                0.99105,                0.14708,                0.29072,                0.76731,              0.0008515,              0.0008515,              0.0008515
                     17,                0.15108,                0.26772,                0.79794,                0.99197,                0.99252,                0.99491,                0.99211,                0.15035,                0.22903,                0.76695,              0.0008416,              0.0008416,              0.0008416
                     18,                0.15166,                0.25997,                0.79827,                0.98961,                0.99214,                0.99485,                0.99195,                0.15922,                0.25628,                0.76481,              0.0008317,              0.0008317,              0.0008317
                     19,                0.14949,                0.25493,                0.79735,                0.99178,                0.98867,                0.99466,                0.99367,                0.13387,                0.25495,                0.76446,              0.0008218,              0.0008218,              0.0008218
                     20,                0.13939,                0.25323,                0.79727,                0.99723,                0.99067,                0.99494,                0.99114,                0.15888,                0.25685,                0.76869,              0.0008119,              0.0008119,              0.0008119
                     21,                0.15066,                0.25328,                0.79781,                0.99642,                0.99161,                0.99491,                0.99018,                  0.164,                 0.2578,                0.76761,               0.000802,               0.000802,               0.000802
                     22,                0.14169,                0.24442,                0.79687,                0.99341,                 0.9938,                0.99491,                0.99105,                0.14697,                0.23564,                0.76524,              0.0007921,              0.0007921,              0.0007921
                     23,                0.13482,                0.24592,                0.79562,                0.99449,                0.98076,                0.99488,                0.99273,                0.14502,                 0.2992,                 0.7655,              0.0007822,              0.0007822,              0.0007822
                     24,                0.13485,                0.23945,                  0.796,                0.99542,                0.99433,                0.99494,                 0.9943,                0.13523,                0.22557,                0.76165,              0.0007723,              0.0007723,              0.0007723
                     25,                0.13623,                0.23982,                 0.7965,                0.99307,                0.98745,                0.99484,                0.99445,                0.13115,                0.26679,                0.76679,              0.0007624,              0.0007624,              0.0007624
                     26,                0.13282,                0.23492,                 0.7969,                0.99727,                0.99418,                0.99499,                0.99369,                 0.1397,                0.27319,                0.76215,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.1343,                0.23927,                0.79716,                0.99106,                 0.9912,                0.99493,                0.99467,                0.13088,                0.23727,                0.76479,              0.0007426,              0.0007426,              0.0007426
                     28,                0.13005,                0.23214,                0.79581,                0.99543,                0.99362,                0.99497,                0.99449,                0.13127,                0.23757,                0.76631,              0.0007327,              0.0007327,              0.0007327
                     29,                0.12907,                0.23037,                0.79593,                0.99508,                0.99493,                0.99498,                0.99426,                0.13608,                  0.238,                0.76268,              0.0007228,              0.0007228,              0.0007228
                     30,                0.13044,                0.22747,                0.79549,                 0.9966,                0.99139,                0.99495,                0.99453,                0.13661,                0.21591,                0.76171,              0.0007129,              0.0007129,              0.0007129
                     31,                0.12984,                0.23206,                0.79675,                0.99572,                0.99364,                0.99498,                0.99491,                0.12202,                 0.2309,                0.75728,               0.000703,               0.000703,               0.000703
                     32,                0.12414,                0.22463,                0.79681,                0.99633,                0.99346,                0.99492,                0.99476,                0.12185,                 0.2157,                0.76241,              0.0006931,              0.0006931,              0.0006931
                     33,                0.12577,                0.22272,                 0.7956,                0.99677,                0.99441,                0.99497,                0.99476,                0.12093,                0.21374,                0.76327,              0.0006832,              0.0006832,              0.0006832
                     34,                0.11907,                0.22369,                0.79602,                 0.9963,                0.99352,                0.99493,                0.99455,                0.12414,                0.20399,                0.76111,              0.0006733,              0.0006733,              0.0006733
                     35,                0.12263,                0.22447,                0.79459,                0.99694,                0.98744,                0.99498,                0.99485,                0.12427,                0.26488,                0.76016,              0.0006634,              0.0006634,              0.0006634
