                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.841,                 1.5721,                0.93564,                0.70289,                0.61247,                 0.6947,                0.27983,                 2.1884,                 1.5673,                0.89904,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.8409,                 1.5682,                0.93768,                0.63345,                0.68215,                0.71406,                0.30644,                  2.086,                 1.4772,                0.88396,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.8332,                 1.5593,                0.93435,                0.69683,                0.67272,                0.73089,                 0.3169,                 2.0483,                 1.4114,                0.88606,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.829,                 1.5555,                0.93591,                0.67161,                0.62295,                0.69232,                0.27105,                 2.2089,                 1.5157,                0.91419,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.8181,                 1.5406,                0.93465,                0.70266,                0.70275,                0.74749,                0.31437,                 2.1006,                 1.3442,                0.88634,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.8297,                 1.5494,                0.93236,                0.71075,                0.66688,                0.73758,                0.29512,                 2.1694,                 1.5078,                0.90172,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.8225,                 1.5482,                0.93503,                0.72741,                0.64897,                0.73723,                0.30718,                 2.1189,                 1.4281,                0.89284,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.8215,                 1.5373,                0.93265,                0.71757,                0.64408,                0.71999,                0.29635,                 2.1273,                 1.5408,                0.89889,               0.000604,               0.000604,               0.000604
                     42,                 1.8061,                 1.5373,                0.93387,                0.73184,                0.65371,                0.73769,                0.30621,                 2.1343,                 1.5723,                 0.8982,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.8174,                 1.5269,                0.93489,                 0.7209,                0.66536,                0.74532,                0.30463,                 2.1141,                   1.44,                0.89055,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.7976,                 1.5195,                0.93323,                0.68799,                0.66026,                0.70759,                0.25637,                 2.3185,                 1.5773,                  0.918,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.7971,                 1.5206,                0.93436,                0.70871,                0.68636,                0.72887,                0.29274,                 2.1838,                 1.4481,                0.89602,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.7906,                 1.5022,                0.93174,                0.71197,                0.66198,                0.73166,                0.31493,                  2.066,                 1.5525,                0.88554,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.7999,                 1.5115,                 0.9326,                0.69516,                0.67124,                0.72465,                0.26982,                 2.2965,                 1.5333,                0.91049,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.7856,                 1.5053,                0.92925,                0.70946,                0.71087,                0.76272,                0.32099,                  2.065,                 1.4212,                0.88329,              0.0005347,              0.0005347,              0.0005347
                     49,                  1.797,                 1.5192,                0.93196,                0.74246,                0.68754,                0.76383,                0.32156,                 2.0973,                 1.3719,                0.88643,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.7869,                 1.5011,                 0.9307,                0.70921,                 0.6904,                0.74876,                0.31097,                 2.1262,                 1.3988,                0.88603,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.7961,                 1.5059,                0.93109,                0.72137,                0.65892,                0.71903,                 0.2887,                 2.1666,                 1.4609,                0.89638,               0.000505,               0.000505,               0.000505
                     52,                 1.7981,                 1.4999,                0.92993,                0.72478,                0.69365,                0.75751,                0.32647,                 2.0545,                 1.4458,                0.87991,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.7774,                 1.4838,                0.92748,                0.73486,                0.68053,                0.74699,                0.29365,                 2.2222,                  1.397,                0.89431,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.7748,                 1.4797,                0.93073,                0.73784,                0.68437,                0.75446,                0.31078,                 2.1438,                 1.4004,                 0.8894,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.7774,                 1.4732,                0.93039,                0.76379,                0.67568,                 0.7563,                0.30873,                 2.1579,                 1.3875,                0.88835,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.7804,                 1.4786,                0.92679,                0.75702,                0.68429,                0.76973,                0.31912,                 2.1075,                  1.292,                0.88066,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.7656,                 1.4714,                 0.9293,                0.73339,                0.70389,                 0.7684,                0.32195,                 2.0912,                  1.319,                0.87957,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.7647,                 1.4639,                0.92905,                0.75814,                0.69201,                0.77377,                0.31184,                 2.1646,                 1.3669,                0.88909,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.7635,                 1.4587,                0.93039,                0.75776,                 0.7339,                0.80238,                0.34695,                 2.0184,                 1.3015,                0.87003,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.7654,                 1.4617,                0.92855,                0.76666,                0.73242,                0.79881,                0.35293,                 1.9887,                 1.2824,                0.87064,              0.0004159,              0.0004159,              0.0004159
                     61,                  1.755,                  1.461,                0.92755,                0.75069,                0.70489,                0.77276,                0.32672,                  2.082,                 1.3298,                0.87675,               0.000406,               0.000406,               0.000406
                     62,                 1.7681,                 1.4634,                0.92873,                 0.7319,                0.71465,                0.76738,                0.31692,                 2.1345,                 1.3924,                0.88961,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.7492,                  1.432,                0.92512,                0.76689,                0.70473,                0.78654,                0.34704,                 2.0115,                  1.304,                0.86918,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.7656,                 1.4431,                0.93014,                0.74786,                0.70255,                0.77773,                0.33203,                 2.0748,                 1.3083,                0.87911,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.7424,                 1.4449,                0.92585,                0.75272,                0.69799,                0.77938,                0.33567,                 2.0413,                 1.3302,                0.87401,              0.0003664,              0.0003664,              0.0003664
                     66,                  1.751,                 1.4343,                0.92665,                0.74972,                 0.6892,                0.75676,                0.29762,                 2.2323,                 1.3679,                0.89724,              0.0003565,              0.0003565,              0.0003565
                     67,                  1.755,                 1.4418,                0.92801,                0.74851,                0.69621,                 0.7683,                0.32017,                 2.1239,                 1.3238,                 0.8801,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.7454,                 1.4374,                 0.9255,                0.76852,                  0.702,                0.78124,                 0.3273,                 2.1156,                 1.3018,                0.87972,              0.0003367,              0.0003367,              0.0003367
