                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.12051,                0.21544,                0.78671,                0.99874,                0.99625,                0.99499,                0.99478,                0.15759,                0.11792,                0.67209,              0.0006634,              0.0006634,              0.0006634
                     36,                0.12206,                0.21482,                0.78712,                0.99811,                0.99817,                  0.995,                0.99452,                0.15477,                0.11351,                0.67282,              0.0006535,              0.0006535,              0.0006535
                     37,                 0.1169,                0.21327,                0.78678,                0.99831,                0.99765,                0.99498,                0.99443,                 0.1668,                 0.1192,                0.67275,              0.0006436,              0.0006436,              0.0006436
                     38,                0.11814,                0.20833,                0.78724,                0.99796,                0.99786,                0.99499,                0.99452,                0.16026,                0.12393,                0.67213,              0.0006337,              0.0006337,              0.0006337
                     39,                0.11743,                0.20856,                0.78712,                 0.9984,                0.99943,                  0.995,                0.99486,                0.15755,                0.10683,                 0.6709,              0.0006238,              0.0006238,              0.0006238
                     40,                0.12039,                0.21043,                0.78505,                0.99826,                0.99881,                  0.995,                0.99445,                0.15904,                0.11467,                0.67201,              0.0006139,              0.0006139,              0.0006139
                     41,                0.11347,                0.20561,                 0.7865,                0.99836,                0.99782,                0.99499,                0.99459,                  0.153,                0.12633,                0.67289,               0.000604,               0.000604,               0.000604
                     42,                0.11873,                0.20714,                0.78506,                0.99813,                0.99874,                  0.995,                0.99457,                0.16466,                0.11296,                0.67348,              0.0005941,              0.0005941,              0.0005941
                     43,                0.11321,                0.20321,                0.78494,                0.99799,                0.99752,                0.99499,                0.99487,                0.15975,                0.12171,                0.67214,              0.0005842,              0.0005842,              0.0005842
                     44,                0.11406,                0.20429,                 0.7856,                0.99808,                0.99822,                0.99482,                0.99435,                 0.1585,                0.11536,                0.67157,              0.0005743,              0.0005743,              0.0005743
                     45,                0.11143,                0.20044,                0.78598,                0.99833,                0.99738,                0.99498,                0.99489,                0.15176,                0.11492,                0.67149,              0.0005644,              0.0005644,              0.0005644
                     46,                0.10948,                0.20125,                0.78621,                0.99808,                0.99707,                  0.995,                0.99447,                  0.162,                0.12277,                0.67406,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.1135,                0.19984,                0.78552,                0.99851,                0.99772,                  0.995,                0.99493,                0.15811,                0.12156,                0.67251,              0.0005446,              0.0005446,              0.0005446
                     48,                0.10873,                0.20126,                0.78665,                0.99811,                0.99754,                0.99499,                0.99475,                0.15533,                0.11859,                 0.6716,              0.0005347,              0.0005347,              0.0005347
                     49,                0.10907,                0.19954,                0.78532,                0.99838,                  0.998,                  0.995,                 0.9948,                0.15714,                0.11969,                 0.6722,              0.0005248,              0.0005248,              0.0005248
